,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,engine_unit,max_power_unit,mileage_unit
352,Honda Brio 1.2 VX MT,2012,325000,40000,Petrol,Dealer,Manual,First Owner,18.5,1198.0,86.8,109Nm@ 4500rpm,5.0,CC,bhp,kmpl
353,Volkswagen Ameo 1.2 MPI Comfortline Plus,2019,640000,10000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,73.75,110Nm@ 3750rpm,5.0,CC,bhp,kmpl
354,Nissan Sunny XV Special Edition,2012,450000,9000,Petrol,Dealer,Manual,First Owner,16.95,1498.0,97.7,134Nm@ 4000rpm,5.0,CC,bhp,kmpl
355,Toyota Etios Liva GD SP,2013,400000,70000,Diesel,Dealer,Manual,Second Owner,23.59,1364.0,67.06,170Nm@ 1800-2400rpm,5.0,CC,bhp,kmpl
356,Hyundai i10 Sportz,2009,215000,60000,Petrol,Dealer,Manual,First Owner,20.36,1197.0,78.9,111.8Nm@ 4000rpm,5.0,CC,bhp,kmpl
357,Renault Duster 85PS Diesel RxL,2014,570000,40000,Diesel,Dealer,Manual,First Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0,CC,bhp,kmpl
358,Mahindra XUV500 W8 2WD,2012,680000,93000,Diesel,Dealer,Manual,First Owner,15.1,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,CC,bhp,kmpl
359,Toyota Innova 2.5 V Diesel 7-seater,2008,325000,80000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),7.0,CC,bhp,kmpl
360,Tata Indigo CS eGLX BS IV,2011,150000,50000,Petrol,Individual,Manual,Second Owner,15.64,1193.0,64.08,100Nm@ 2700rpm,5.0,CC,bhp,kmpl
361,Hyundai Elantra SX AT,2013,690000,68000,Petrol,Dealer,Automatic,First Owner,14.5,1797.0,147.5,177.5Nm@ 4700rpm,5.0,CC,bhp,kmpl
362,Mercedes-Benz New C-Class 220 CDI AT,2013,1550000,25000,Diesel,Individual,Automatic,First Owner,14.84,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,CC,bhp,kmpl
363,Tata Nano STD,2012,64000,18000,Petrol,Dealer,Manual,First Owner,25.4,624.0,37.5,51Nm@ 4000rpm,4.0,CC,bhp,kmpl
364,Nissan Micra Diesel XL,2013,250000,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,160Nm@ 2000rpm,5.0,CC,bhp,kmpl
365,Maruti Wagon R LXI,2005,65000,35000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
366,Maruti Swift Dzire VDI,2016,550000,60000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
367,Hyundai i10 Magna,2010,140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
368,Renault KWID RXT,2016,300000,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,72Nm@ 4386rpm,5.0,CC,bhp,kmpl
369,Volkswagen GTI 1.8 TSI,2016,800000,70000,Petrol,Individual,Automatic,First Owner,16.34,1798.0,189.3,250Nm@ 1250-5300rpm,5.0,CC,bhp,kmpl
373,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,320Nm@ 1500-3000rpm,7.0,CC,bhp,kmpl
374,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,CC,bhp,kmpl
375,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0,CC,bhp,kmpl
376,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
377,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
378,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,110Nm@ 4800rpm,5.0,CC,bhp,kmpl
379,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7.0,CC,bhp,kmpl
380,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113Nm@ 4200rpm,5.0,CC,bhp,kmpl
381,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,132Nm@ 3000rpm,5.0,CC,bhp,kmpl
382,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.8,113Nm@ 4200rpm,5.0,CC,bhp,kmpl
383,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.97,190.24nm@ 1750-2250rpm,5.0,CC,bhp,kmpl
384,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
385,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
386,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.76,110Nm@ 4800rpm,5.0,CC,bhp,kmpl
388,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,350Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
389,Hyundai i10 Magna,2010,150000,106000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
391,Honda CR-V 2.4L 4WD AT,2009,500000,120000,Petrol,Individual,Automatic,Second Owner,11.1,2354.0,158.8,218Nm@ 4200rpm,5.0,CC,bhp,kmpl
392,Maruti Swift Dzire VDI,2015,480000,90000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
393,Hyundai Verna 1.6 SX CRDi (O),2014,535000,70000,Diesel,Individual,Manual,Third Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5.0,CC,bhp,kmpl
394,Toyota Innova 2.5 G1 Diesel 8-seater,2005,250000,240000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),8.0,CC,bhp,kmpl
395,Maruti SX4 Celebration Diesel,2012,300000,100000,Diesel,Individual,Manual,Second Owner,21.5,1248.0,88.8,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
396,Hyundai Verna XXi ABS (Petrol),2009,340000,214000,Petrol,Individual,Manual,Second Owner,13.9,1599.0,103.2,"14.9@ 3,000(kgm@ rpm)",5.0,CC,bhp,kmpl
397,Hyundai Verna CRDi SX,2009,340000,214000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,"24@ 1,900-2,750(kgm@ rpm)",5.0,CC,bhp,kmpl
398,Maruti Alto 800 VXI,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
399,Honda City i-VTEC CVT V,2018,1085000,1000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.6,145Nm@ 4600rpm,5.0,CC,bhp,kmpl
400,Maruti Swift Dzire AMT VDI,2017,750000,19000,Diesel,Individual,Automatic,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
401,Tata Indigo LS,2012,95000,265000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,70.0,"13.5@ 2,500(kgm@ rpm)",5.0,CC,bhp,kmpl
402,Maruti Eeco CNG 5 Seater AC,2020,409999,35000,CNG,Individual,Manual,First Owner,20.88,1196.0,61.7,85Nm@ 3000rpm,5.0,CC,bhp,km/kg
403,Maruti Alto K10 VXI,2014,215000,80000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
404,Mahindra XUV500 AT W10 AWD,2016,1290000,50000,Diesel,Individual,Automatic,First Owner,16.0,2179.0,140.0,330Nm@ 1600-2800rpm,7.0,CC,bhp,kmpl
405,Maruti Alto K10 LXI,2010,150000,80000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
406,Hyundai EON Sportz,2013,219000,50000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,CC,bhp,kmpl
407,Tata Tiago 1.2 Revotron XE,2018,325000,100000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114Nm@ 3500rpm,5.0,CC,bhp,kmpl
408,Maruti Eeco Smiles 5 Seater AC,2013,260000,120000,Petrol,Individual,Manual,Second Owner,15.1,1196.0,73.0,101Nm@ 3000rpm,5.0,CC,bhp,kmpl
428,Honda Amaze S CVT Diesel BSIV,2019,700000,40000,Diesel,Individual,Automatic,First Owner,23.8,1498.0,78.9,160Nm@ 1750rpm,5.0,CC,bhp,kmpl
429,Hyundai Creta 1.4 CRDi Base,2017,950000,45000,Diesel,Individual,Manual,First Owner,21.38,1396.0,88.7,219.7Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
430,Maruti Alto LXi BSIII,2010,160000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,CC,bhp,kmpl
431,Hyundai Xcent 1.1 CRDi S Option,2015,409999,135000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.01,180.4Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
432,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,840000,120000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,200Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
433,Toyota Etios Liva Diesel,2013,450000,67000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,170Nm@ 1800-2400rpm,5.0,CC,bhp,kmpl
434,Maruti Swift Dzire ZDI Plus,2017,900000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
435,Toyota Innova 2.5 V Diesel 7-seater,2008,570000,134000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,20.4@ 1400-3400(kgm@ rpm),7.0,CC,bhp,kmpl
436,Nissan Micra Diesel XV,2011,254999,110000,Diesel,Individual,Manual,Second Owner,23.08,1461.0,63.1,160Nm@ 2000rpm,5.0,CC,bhp,kmpl
437,Maruti 800 AC BSIII,2009,130000,40000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,CC,bhp,kmpl
438,Maruti Swift Dzire VDI,2013,530000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
439,Volkswagen Polo 1.5 TDI Highline,2015,520000,110000,Diesel,Individual,Manual,Second Owner,20.14,1498.0,88.8,230Nm@ 1500-2500rpm,5.0,CC,bhp,kmpl
440,Mahindra Verito 1.5 D2 BSIII,2011,229999,170000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,160Nm@ 2000rpm,5.0,CC,bhp,kmpl
441,Maruti 800 AC BSIII,2004,81000,80000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,CC,bhp,kmpl
442,Maruti Swift VDI Optional,2016,600000,47000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
443,Hyundai Xcent 1.2 Kappa S Option,2015,409999,93000,Petrol,Individual,Manual,First Owner,19.1,1197.0,81.86,113.75Nm@ 4000rpm,5.0,CC,bhp,kmpl
444,Maruti 800 Std,2010,120000,70000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59Nm@ 2500rpm,4.0,CC,bhp,kmpl
445,Maruti Celerio VXI,2014,320000,50000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
446,Ford Figo Diesel EXI,2015,292000,70000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.05,160Nm@ 2000rpm,5.0,CC,bhp,kmpl
447,Tata Safari DICOR 2.2 LX 4x2,2012,390000,80000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,320Nm@ 1700-2700rpm,7.0,CC,bhp,kmpl
448,Ford Figo 1.2P Titanium Plus MT,2016,550000,44000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5.0,CC,bhp,kmpl
449,Maruti Celerio ZXI,2014,385000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
450,Hyundai Creta 1.6 VTVT S,2016,800000,25000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,151Nm@ 4850rpm,5.0,CC,bhp,kmpl
451,Maruti Swift Dzire VXI 1.2,2019,675000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0,CC,bhp,kmpl
452,Tata Hexa XT,2018,1525000,50000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,400Nm@ 1750-2500rpm,7.0,CC,bhp,kmpl
453,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5.0,CC,bhp,kmpl
454,Hyundai i20 Active 1.4 SX with AVN,2015,610000,50000,Diesel,Individual,Manual,Second Owner,21.19,1396.0,88.73,219.66nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
455,Hyundai i20 Asta 1.4 CRDi,2012,525000,120000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
457,Mahindra Bolero 2011-2019 SLE,2015,375000,80000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,195Nm@ 1400-2200rpm,7.0,CC,bhp,kmpl
458,Nissan Terrano XL Plus 85 PS,2015,580000,90000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0,CC,bhp,kmpl
459,Maruti Swift VXI Windsong Limited edition,2015,434999,50000,Petrol,Individual,Manual,Second Owner,20.4,1197.0,83.11,115Nm@ 4000rpm,5.0,CC,bhp,kmpl
460,Datsun RediGO 1.0 S,2020,350000,2136,Petrol,Individual,Manual,First Owner,22.5,999.0,67.0,91Nm@ 4250rpm,5.0,CC,bhp,kmpl
461,Toyota Innova 2.5 G (Diesel) 7 Seater,2012,730000,250000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.0,200Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
462,Hyundai i20 Magna 1.2,2015,600000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
463,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1050000,120000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1400-3400rpm,7.0,CC,bhp,kmpl
464,Maruti Baleno Alpha 1.3,2017,735000,70000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
465,Renault Duster 110PS Diesel RxZ,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,19.6,1461.0,108.45,245Nm@ 1750rpm,5.0,CC,bhp,kmpl
466,Chevrolet Enjoy 1.3 TCDi LS 7,2016,420000,110000,Diesel,Individual,Manual,Second Owner,18.2,1248.0,73.74,172.5Nm@ 1750rpm,7.0,CC,bhp,kmpl
467,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,800000,60000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,200Nm@ 1750rpm,5.0,CC,bhp,kmpl
468,Toyota Fortuner 4x2 AT,2015,2000000,60000,Diesel,Individual,Automatic,First Owner,12.55,2982.0,168.5,360Nm@ 1400-3200rpm,7.0,CC,bhp,kmpl
469,Maruti Swift Dzire VDI,2016,600000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
470,Toyota Fortuner 4x2 AT,2015,1900000,130000,Diesel,Individual,Automatic,First Owner,12.55,2982.0,168.5,360Nm@ 1400-3200rpm,7.0,CC,bhp,kmpl
471,Chevrolet Captiva LT,2011,500000,99500,Diesel,Individual,Manual,Third Owner,11.5,1991.0,147.9,320Nm@ 2000rpm,7.0,CC,bhp,kmpl
472,Tata Indica Vista Aqua 1.4 TDI,2011,200000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,135 Nm at 2500  rpm,5.0,CC,bhp,kmpl
473,Nissan Micra Active XL Petrol,2016,370000,35000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,104Nm@ 4000rpm,5.0,CC,bhp,kmpl
474,Hyundai Verna Transform CRDi VGT SX ABS,2010,260000,110000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110.0,24 KGM at 1900-2750 RPM,5.0,CC,bhp,kmpl
475,Mahindra KUV 100 mFALCON D75 K8,2016,280000,100000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,190Nm@ 1750-2250rpm,6.0,CC,bhp,kmpl
476,Maruti Ertiga VXI,2014,610000,21000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0,CC,bhp,kmpl
477,Ford Fiesta Titanium 1.5 TDCi,2013,300000,60000,Diesel,Individual,Manual,Second Owner,23.5,1498.0,90.0,204Nm@ 2000-2750rpm,5.0,CC,bhp,kmpl
478,Tata Indigo CS LX DiCOR,2010,140000,40000,Diesel,Individual,Manual,First Owner,16.6,1405.0,70.0,"14.3@ 1,800-3,000(kgm@ rpm)",5.0,CC,bhp,kmpl
479,Hyundai i10 Magna 1.1L,2008,229999,50000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0,CC,bhp,kmpl
480,Maruti A-Star Vxi,2010,200000,65000,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
481,Maruti Wagon R VXI BSIII,2011,200000,80000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
482,Hyundai Verna 1.6 CRDi S,2015,560000,119000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0,CC,bhp,kmpl
483,Maruti Ertiga SHVS VDI,2016,750000,80000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200Nm@ 1750rpm,7.0,CC,bhp,kmpl
484,Maruti Swift VDI BSIV,2017,585000,90000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
485,Hyundai Verna 1.6 VTVT S Option,2016,760000,20000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,154.9Nm@ 4200rpm,5.0,CC,bhp,kmpl
486,Maruti Swift VDI BSIV,2014,430000,80000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
487,Mahindra KUV 100 D75 K6 Plus,2020,480000,44665,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,190Nm@ 1750-2250rpm,6.0,CC,bhp,kmpl
488,Kia Seltos HTE D,2019,643000,10000,Diesel,Individual,Manual,First Owner,20.8,1493.0,113.4,250nm@ 1500-2750rpm,5.0,CC,bhp,kmpl
489,Hyundai Xcent 1.2 VTVT S,2018,500000,60000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,113.75nm@ 4000rpm,5.0,CC,bhp,kmpl
490,Honda Brio 1.2 S MT,2016,425000,22000,Petrol,Individual,Manual,First Owner,18.5,1198.0,86.8,109Nm@ 4500rpm,5.0,CC,bhp,kmpl
491,Maruti Alto 800 LXI,2014,250000,25000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
492,Maruti Celerio LDi,2016,285000,70000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,125Nm@ 2000rpm,5.0,CC,bhp,kmpl
493,Maruti Swift Dzire VXi,2008,160000,123000,Petrol,Individual,Manual,Third Owner,17.5,1298.0,85.8,114Nm@ 4000rpm,5.0,CC,bhp,kmpl
494,Volkswagen Vento Diesel Trendline,2011,250000,70000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5.0,CC,bhp,kmpl
495,Chevrolet Beat LS,2013,170000,70000,Petrol,Individual,Manual,Second Owner,18.6,1199.0,79.4,108Nm@ 4400rpm,5.0,CC,bhp,kmpl
496,Toyota Etios Liva GD,2013,409999,45000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,170Nm@ 1800-2400rpm,5.0,CC,bhp,kmpl
497,Hyundai Grand i10 AT Asta,2015,400000,40000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,82.0,114Nm@ 4000rpm,5.0,CC,bhp,kmpl
498,Maruti Swift Dzire VDI,2019,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
499,Honda Civic 1.8 V AT,2007,350000,90000,Petrol,Individual,Automatic,First Owner,12.9,1799.0,130.0,172Nm@ 4300rpm,5.0,CC,bhp,kmpl
500,Maruti Ertiga BSIV VXI,2016,660000,34000,Petrol,Individual,Manual,Second Owner,17.5,1373.0,91.1,130Nm@ 4000rpm,7.0,CC,bhp,kmpl
501,Maruti Alto 800 VXI,2017,268000,25000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
502,Maruti Alto 800 VXI,2016,270000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,CC,bhp,kmpl
503,Chevrolet Beat Diesel LT,2013,300000,50000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,150Nm@ 1750rpm,5.0,CC,bhp,kmpl
504,Tata Tiago 1.2 Revotron XZ,2017,450000,90000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114Nm@ 3500rpm,5.0,CC,bhp,kmpl
505,Chevrolet Beat Diesel LT,2012,220000,70000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,150Nm@ 1750rpm,5.0,CC,bhp,kmpl
506,Tata New Safari DICOR 2.2 VX 4x2,2009,250000,146000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.0,320Nm@ 1700-2700rpm,7.0,CC,bhp,kmpl
507,Ford Figo Petrol EXI,2012,300000,85000,Petrol,Individual,Manual,Second Owner,15.6,1196.0,70.0,102Nm@ 4000rpm,5.0,CC,bhp,kmpl
508,Tata Indica V2 2001-2011 DLS BSIII,2009,88000,201850,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,85Nm@ 2500rpm,5.0,CC,bhp,kmpl
509,Maruti Swift Dzire VDI,2016,561000,30000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
510,Maruti Swift Dzire VDI,2018,755000,15000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
511,Datsun RediGO S,2017,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,72Nm@ 4386rpm,5.0,CC,bhp,kmpl
512,Maruti Alto K10 LXI,2011,165000,90000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
513,Maruti Swift Dzire LDi,2008,190000,80000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0,CC,bhp,kmpl
514,Tata Indica V2 DLX BSII,2011,110000,50000,Diesel,Individual,Manual,First Owner,17.2,1396.0,53.5,"8.5@ 2,500(kgm@ rpm)",5.0,CC,bhp,kmpl
515,Mahindra Bolero 2011-2019 DI 4WD NON AC,2012,320000,80000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,180Nm@ 1440-1500rpm,8.0,CC,bhp,kmpl
517,Hyundai i20 Asta Option 1.2,2016,540000,38000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
518,Hyundai EON Era Plus,2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,CC,bhp,kmpl
520,Maruti Swift Dzire 1.2 Vxi BSIV,2012,450000,30000,Petrol,Individual,Manual,First Owner,17.5,1197.0,85.8,114Nm@ 4000rpm,5.0,CC,bhp,kmpl
521,Maruti Swift Dzire VXI,2014,450000,30000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,114Nm@ 4000rpm,5.0,CC,bhp,kmpl
522,Chevrolet Beat LT,2015,200000,50000,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,106.5Nm@ 4400rpm,5.0,CC,bhp,kmpl
523,Tata Tiago 1.2 Revotron XZ,2017,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,114Nm@ 3500rpm,5.0,CC,bhp,kmpl
524,Chevrolet Sail 1.2 LS ABS,2016,400000,30000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,108.5Nm@ 5000rpm,5.0,CC,bhp,kmpl
525,Maruti Alto LXi BSIII,2009,125000,60000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,CC,bhp,kmpl
526,Jeep Compass 2.0 Longitude Option BSIV,2018,1600000,14000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170.0,350Nm@ 1750-2500rpm,5.0,CC,bhp,kmpl
527,Honda City i VTEC VX,2015,900000,22000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,145Nm@ 4600rpm,5.0,CC,bhp,kmpl
528,Volkswagen Vento Diesel Highline,2012,450000,90000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5.0,CC,bhp,kmpl
529,Maruti Alto K10 2010-2014 VXI,2011,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90Nm@ 3500rpm,5.0,CC,bhp,kmpl
530,Hyundai i20 1.2 Asta Option,2018,801000,20000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0,CC,bhp,kmpl
531,Tata Venture EX 7 Str Captain Seats,2014,317000,15000,Diesel,Individual,Manual,First Owner,15.42,1405.0,70.0,135Nm@ 2500rpm,7.0,CC,bhp,kmpl
